"Rank","Triples","HomeRuns","StolenBases","BaseOnBalls","Strikeouts","BattingAverage","OnBasePercentage","SluggingPercentage","OnBasePlusSlugging","IntentionalWalks","GamesStarted","BattingStats","DefenseStats","WinsAboveReplacement","Top100Status"
8,0,27,6,76,152,0.278,0.392,0.528,0.919,3,108,112,91,5.9,"81"
8,1,27,3,64,141,0.272,0.381,0.54,0.921,4,99,102,92,5.6,"No"
10,0,9,0,10,32,0.257,0.336,0.554,0.891,0,26,28,25,1.1,"No"
8,0,39,6,75,158,0.287,0.373,0.544,0.916,2,144,148,125,6.1,"17"
7,0,62,16,111,175,0.311,0.425,0.686,1.111,19,153,157,129,10.5,"1"
8,0,37,3,88,130,0.267,0.406,0.613,1.019,9,104,106,67,4.5,"65"
27,0,0,0,0,0,0.5,0.5,0.5,1,0,16,1,16,0.4,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,19,1,25,0.6,"No"
30,0,0,0,0,0,0,0,0,0,0,5,1,29,0.3,"No"
35,0,0,0,0,1,0.5,0.5,0.5,1,0,0,3,3,0.1,"No"
36,0,0,0,0,1,0,0,0,0,0,2,3,4,-0.3,"No"
31,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,11,0.2,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,36,0.2,"No"
29,0,0,0,0,0,0,0,0,0,0,16,2,22,0.4,"No"
34,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,1,0,1,-0.1,"No"
58,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,65,-0.9,"No"
58,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,55,-0.6,"No"
59,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,2,63,65,2.8,"No"
44,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,9,9,0.1,"No"
47,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,4,0.2,"No"
35,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,24,0.5,"No"
31,0,0,0,0,0,0,0,0,0,0,0,1,33,0.6,"No"
39,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,64,1.6,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,4,71,1.1,"No"
39,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,60,-0.2,"No"
38,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,21,0,"No"
